id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;ack lest;undergo whenever;resort;tightly whenever;before;optimistically boohoo ingratiate;jacket fast;display until makeover;2025-04-01;2025-04-02;2025-04-01;before incidentally;amongst since upside-down;2025-04-02;2025-04-02;but whose;puritan despite unto;strong;annually;though;naturally drab;cloudy upwardly;hm phew about
2;well-off snow diagram;legitimize;fooey deployment;orientate pace;indeed lighthearted;supposing sunbeam till;which;toward;2025-04-01;2025-04-02;2025-04-01;instruction following mysteriously;lively outrank untrue;2025-04-02;2025-04-02;longingly;vaguely;from proliferate;impostor;nor;or machine bicycle;discourse boom blah;almost for unique
3;regarding stunning;vivaciously sad;gee;and;amendment guacamole furthermore;exalt hypothesise;anxiously;far;2025-04-01;2025-04-02;2025-04-02;provided uncork;soulful unless;2025-04-02;2025-04-02;anenst fireplace;victorious develop;inasmuch scarcely bidet;monthly certification;zowie fortunately;sans;anenst or;purple father
4;bowler softly um;fooey usefully;regarding primary;atop yippee;croon flu bind;toe mothball metabolite;circa teeming for;though;2025-04-02;2025-04-02;2025-04-02;wholly;poorly dishonor;2025-04-02;2025-04-02;engage polished;acidly prickly cellar;gah;extension upbeat ah;swing;yuck shoot;unless;psst represent vol
5;remand gee likely;aside;unnecessarily next;amid infinite pity;underneath between;whenever likewise um;brilliant oh phew;entomb;2025-04-02;2025-04-01;2025-04-01;jaunty lecture;ack puppet since;2025-04-02;2025-04-01;reconstitute pace secularize;testimonial;homeschool reword awful;gadzooks self-reliant unwilling;muffled;really;and delete for;gee broken
6;aha;ambitious;very minister aw;gee more vice;mixture even icebreaker;nor numeric;off mill receptor;throbbing;2025-04-02;2025-04-02;2025-04-02;joy;stack whenever outsource;2025-04-02;2025-04-01;enroll intensely which;blah supposing discrete;extremely hourly;per loaf;proofread;spanish;diligently infatuated;tricky
7;sternly alongside pale;since boohoo knavishly;apostrophize animated indeed;obscure valiantly monthly;whoa mask rust;foolishly screw;after;ruddy considering than;2025-04-02;2025-04-02;2025-04-02;amongst even multicolored;wrong persecute failing;2025-04-02;2025-04-02;vastly miserable;equally;bah space whose;verve who supposing;wilt;until;odd curry e-mail;yahoo splash
8;yahoo painfully;peppery brand;upon;unearth regarding interestingly;openly;brr;tapioca defiantly;even incidentally;2025-04-01;2025-04-01;2025-04-02;officially;innocently atop violent;2025-04-02;2025-04-01;jiggle intensely;modulo;whose;lightly ah granny;next;behind after;unfortunately;absent incidentally beyond
9;privilege anti pilot;elevation hmph before;excluding;duh institute;although excited;good self-assured;spark near despite;until if equally;2025-04-02;2025-04-02;2025-04-02;nor rawhide;gurn second as;2025-04-02;2025-04-02;um;abaft towards;entry;what;oof;wavy;till;extract
10;yowza transom boohoo;last though;following;charming over scoff;reservation adventurously ew;under oxygenate;pneumonia solicit earnest;valuable cheese;2025-04-01;2025-04-02;2025-04-02;awkwardly clonk so;spotless;2025-04-01;2025-04-02;but devastation;tuxedo exploration;um toaster;vague incidentally pushy;front aggressive;huzzah louse;ew;team battle
