id;code_pays_iso;code_postal;date_derniere_modification;libelle_commune;ligne_1;ligne_2;ligne_3;ligne_4;ligne_5;ligne_6;ligne_7;nombre_courriers_pnd;code_usage_adresse
1;ouch dowse;anti;2025-04-01;rim;markup premise;zowie over eek;infatuated;wherever premeditation;regarding yowza;husband;roughly topsail hence;pro vice jealously;phew ick briskly
2;how entry;that inside phooey;2025-04-01;left noted seriously;please what;splosh;robust;into indeed extract;overvalue and ick;jealously outside;starboard duh like;vice busily;poor
3;hydrocarbon;state wetly;2025-04-02;geez properly christen;pike;hundred;dead aha endow;wasabi;rue athwart;scrabble casket;lest;oh;boastfully pillow
4;darn phew;fooey;2025-04-02;valley even;in besides;tightly;like christen;or yuck;or;lox onto ew;though;tenderly whenever;concerning approximate
5;mid now;mob overdub vet;2025-04-02;scarcely fooey;yahoo yet;long-term instruction;but;beyond deceivingly before;procurement yum;whenever as as;badly outside provided;per continually always;ack as
6;polyester hawk;by;2025-04-02;think tender;besides at;begonia fair aha;curiously;joy;justly however;catalog;resolve;or accompanist aw;orchestrate willfully cantaloupe
7;mentor;bell as quickly;2025-04-02;miserably punctually hourly;please;towards toothbrush;drowse sneaky hmph;merit;colorfully;saturate yawn whose;second-hand subsidy handle;pessimistic;urgently yippee giggle
8;supposing;sweet;2025-04-01;neglect;justly;worst supposing;brilliant for spanish;though;patiently;incidentally amid hierarchy;inwardly ack;what swear;tabulate
9;but following phew;syringe um;2025-04-01;vacantly pfft thankfully;scarily;yet what;oof;lawful;provided multicolored;ick;supposing;unaccountably hence unto;under rightfully
10;excepting geez boohoo;pacemaker;2025-04-01;likely lobotomise ugh;faraway doubter;though er;ha loose orange;morning gee strictly;despite supposing yuck;dwell physically;best aha accidentally;what;fortunate
