id;adresse_email;code_statut;date_statut;code_usage_email
1;noteworthy generally;psst mmm serenade;2025-04-02;expansion
2;marvelous;carboxyl following;2025-04-02;after considering
3;chiffonier huzzah;since who aha;2025-04-02;whose austere
4;crafty;cutover neaten;2025-04-02;lovingly delightfully
5;millet caring;seriously self-assured;2025-04-02;fraudster
6;ah who;er an;2025-04-02;supposing order ski
7;meaningfully gah inquisitively;paintwork;2025-04-01;carefully
8;holster joyfully;beyond wonderfully make;2025-04-02;gah or um
9;yippee average;vastly bah language;2025-04-02;coolly by
10;potentially;failing;2025-04-01;splendid boo syringe
